CBPID,AUID,HHID,SAMKey
677516735,2039568109,2019621228,2330001126218
677517409,2045546740,2045546740,2330001254274
677518090,172397120,172397120,2330000371155
677518328,2037791941,2037791941,2330000649636
677519011,176462535,176462535,2330000766749
677519208,177702062,177702062,2330000731466
677519501,173243875,173243875,2330000457083
677520618,2063405615,2063405615,2330001392319
677522240,174825469,174825469,2330000501713
677509531,172519622,172519622,2330000030091
677510014,173075305,173075305,2330000447379
677509763,172723770,172723770,2330000419463
677509816,178083391,178083391,2330000691969
677510282,174814116,174814116,2330000244648
677510331,2042859487,2042859487,2330001177153
677510849,173733658,173733658,2330000074505
677511212,2019408230,2019408230,2330000724104
677511237,2009793221,2009793221,2330000635608
677511498,173500815,173500815,2330000643604
677511701,172506174,172506174,2330000766168
677511937,172214528,172214528,2330000760101
677512829,2008631761,2008631761,2330000919213
677513651,2042832429,2042832429,2330001133675
677513787,175890339,2015110738,2330000155350
677514175,172228908,172228908,2330000658873
677514347,2021181107,2021181107,2330000446160
677514605,173831532,173831532,2330000150940
677514888,172261255,172261255,2330000040155
677515178,2010205793,2010205793,2330000950170
677515437,173289870,173289870,2330000679859
677515625,2042735521,2042735521,2330001173607
677516514,2023692754,2023692754,2330000958934
677516566,2019970484,2019970484,2330000928281
677516574,176443307,176443307,2330000266651
677517116,174912733,2031716258,2330000670695
677517158,2016347132,2016347132,2330000185441
677517398,2009563849,2009563849,2330000946058
677517489,179420287,179420287,2330000144210
677517927,2039593797,2039593797,2330001127594
677518245,174376155,174376155,2330000009283
677518440,173781670,2009657517,2330000381112
677518646,177694850,177694850,2330000340348
677519310,2039818860,2039818860,2330001132616
677519337,173527395,173527395,2330000092832
677519468,2021867169,2021867169,2330000684786
677520918,173788639,173788639,2330000440644
677521883,2020127949,2020127949,2330000663651
677522425,172235583,172235583,2330000115150
677509722,175085983,175085983,2330000143089
677509771,174066880,174066880,2330000438076
677509843,2021226239,2021226239,2330000051845
677510550,174963939,174963939,2330000697601
677510732,2021730975,2021730975,2330000137226
677511593,2008284521,2008284521,2330000682044
677511640,2009275300,2020289293,2330000573877
677511728,172028282,172028282,2330000134410
677511975,173207901,173207901,2330000303648
677512161,2037774764,2037774764,2330000649816
677512805,2021472222,2021472222,2330000730872
677512819,2063967155,2063967155,2330001358954
677513109,2042832429,2042832429,2330001133675
677513202,177898681,177898681,2330000167962
677513535,2037815168,2023969923,2330000558225
677513729,172397120,172397120,2330000371155
677514428,183053267,183053267,2330000910076
677515331,172981893,172981893,2330000047507
677515651,178525323,178525323,2330000671916
677516071,172712809,172712809,2330000035236
677516124,185052178,185052178,2330000770022
677516758,2037774764,2037774764,2330000649816
677516785,176505437,176505437,2330000687723
677516927,176781760,176781760,2330000309314
677517001,173064096,173064096,2330000679862
677517072,2019823192,2019823192,2330000948055
677517470,177261202,177261202,2330000607637
677517848,2023499504,2023499504,2330001033818
