CBPID,AUID,HHID,SAMKey
677509637,2010860099,2010860099,2330000867727
677509819,2008470338,2008470338,2330000938003
677509859,181842212,181842212,2330000502814
677509985,174107274,174107274,2330000417540
677511257,175393692,175393692,2330000356000
677511268,174127285,174127285,2330000502014
677512056,174048186,174048186,2330000257715
677512120,172856814,172856814,2330000299195
677512583,2042420509,2042420509,2330001163266
677512591,184195424,184195424,2330000671833
677512926,2044341405,2044341405,2330001163263
677512975,2044224505,2044030849,2330001194751
677513516,2042390038,2042390038,2330001138906
677514141,2044320127,2044320127,2330001174835
677514642,2023499504,2023499504,2330001033818
677515245,2009734061,2009734061,2330000807083
677515816,2044882386,2044882386,2330001206707
677516410,172501204,2036877963,2330000461956
677516722,2020157211,2020157211,2330000681819
677516820,2042786071,2042786071,2330001081522
677517204,174253527,174253527,2330000333821
677517909,173207901,173207901,2330000303648
677518465,2016347132,2016347132,2330000185441
677518804,178916001,178916001,2330000300574
677519185,176809417,176809417,2330000447443
677519347,2025289968,2025289968,2330000944451
677519721,177463482,177463482,2330000322382
677519833,2021790489,2033897762,2330000681736
677520018,2050344105,2050344105,2330001282624
677520260,2045546740,2045546740,2330001254274
677520458,172571945,172571945,2330000566963
677520617,2019763647,2019763647,2330000208635
677521660,174688155,174688155,2330000327260
677521685,173788639,173788639,2330000440644
677509488,2020157211,2020157211,2330000681819
677510065,177682972,177682972,2330000758348
677510421,2063405615,2063405615,2330001392319
677510442,173064096,173064096,2330000679862
677510547,175023316,175023316,2330000323541
677510688,187333891,187333891,2330000082617
677510701,173098203,2027006666,2330000667446
677510788,175293278,175293278,2330000629780
677510896,176028088,176028088,2330000125838
677511610,2025289968,2025289968,2330000944451
677511636,2020092293,2020092293,2330000705104
677512615,173278848,173278848,2330000679819
677512828,175055410,2016621253,2330000204877
677513346,175955632,175955632,2330000731377
677513915,172397468,172397468,2330000622007
677514139,175999995,175999995,2330000055183
677515157,2008109309,2008109309,2330000935970
677515547,173934059,173934059,2330000113532
677515575,176836002,176836002,2330000631083
677515772,177710161,177710161,2330000728707
677516433,176586944,176586944,2330000671486
677516447,178043967,178043967,2330000276356
677516565,2010588782,2010588782,2330000864537
677516868,173963918,2035931174,2330000542214
677517033,2039435229,2039435229,2330001123064
677517087,177315281,177315281,2330000661746
677517228,173243875,173243875,2330000457083
677517290,174642358,174642358,2330000156713
677518061,2033785112,2033785112,2330000680054
677518278,173189847,173189847,2330000548937
677518668,173421724,173421724,2330000475427
677519217,174116383,174116383,2330000024652
677519415,2042735521,2042735521,2330001173607
677519488,175534777,175534777,2330000737231
677519544,177336578,177336578,2330000663801
677519559,2042390038,2042390038,2330001138906
677519607,2045457506,2045457506,2330001283264
677520212,172806772,172806772,2330000255824
677520806,175527598,175527598,2330000148600
677520900,174593215,174593215,2330000674206
677522516,2008803278,2008803278,2330000870825
677522521,175090801,175090801,2330000586228
